date,coin,usd,usd_24h_change,usd_market_cap
2026-07-23,bitcoin,65682,-0.42,1317575820449.9397
2026-07-23,ethereum,1923.64,0.23,232149654186.23636
2026-07-23,solana,77.57,0.1,45212939877.334305
2026-07-23,bitcoin,65673,-0.42,1317528270505.6973
2026-07-23,ethereum,1921.76,0.18,231937983246.1221
2026-07-23,solana,77.53,0.22,45187211649.95967
2026-07-23,bitcoin,65616,-0.46,1316137671686.288
2026-07-23,ethereum,1920.91,0.14,231752440439.483
2026-07-23,solana,77.4,0.26,45101034445.86309
2026-07-23,bitcoin,65577,-0.54,1315375646705.346
2026-07-23,ethereum,1922.38,0.15,231996288404.36136
2026-07-23,solana,77.35,0.04,45076067369.56204
